index,Job Title,Salary Estimate,Rating,Company Name,Size,Founded,Type of ownership,Industry,Sector,Revenue,Job_country,Job_state,Company_Year,python_yn,visualization_yn,Excel_yn,analysis_yn,communication_yn,aws_yn
104,"Staff Data Scientist, Platform",150200,4.5,"Salesforce
",10000+ Employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),Remote,Remote,23,0,0,0,0,0,0
105,"Data Scientist, Freemium Innovation",139731,4.2,"Spotify
",5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,New York, NY,16,0,0,0,0,0,0
106,"Data Scientist, Marketing Science Research: Creative Shop",114330,4.3,"Meta
",10000+ Employees,2004,Company - Public,Internet,Information Technology,$10+ billion (USD),San Francisco, CA,18,0,0,0,0,0,0
107,"Data Scientist, Marketing Analytics",120445,3.8,"Publix
",10000+ Employees,1930,Company - Private,Grocery Stores & Supermarkets,Retail,$10+ billion (USD),Lakeland, FL,92,0,0,0,0,0,0
108,Senior Data Scientist,181500,4.0,"Charles Schwab
",10000+ Employees,1973,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),Lone Tree, CO,49,0,0,0,0,0,0
109,Data Scientist,111199,3.4,"Cerebral
",1001 to 5000 Employees,2020,Company - Private,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),San Francisco, CA,2,0,0,0,0,0,0
110,VP - Data Scientist,116904,4.0,"Morgan Stanley
",10000+ Employees,1935,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),Alpharetta, GA,87,0,0,0,0,0,0
113,"Senior Data Scientist - Analytics, FinCrimes",130758,4.0,"Robinhood
",1001 to 5000 Employees,2013,Company - Public,Brokerage Services,Finance,Unknown / Non-Applicable,Menlo Park, CA,9,0,0,0,0,0,0
114,Principal Data Scientist,154000,3.9,"Verizon
",10000+ Employees,2000,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),Colorado,Colorado,22,0,0,0,0,1,0
115,Senior Data Scientist (remote),156800,3.9,"Liberty Mutual Insurance
",10000+ Employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),Remote,Remote,110,0,0,0,0,0,0
116,"Data Scientist, Product Intelligence",144420,4.4,"Zoom Video Communications, Inc.
",1001 to 5000 Employees,2011,Company - Public,IT Services,Information Technology,$2 to $5 billion (USD),San Francisco, CA,11,0,0,0,0,0,0
117,Data Scientist I,108578,3.3,"GEICO
",10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD),Chevy Chase, MD,86,1,1,0,1,0,0
118,Senior Data Scientist - Ranking Team,180000,4.4,"Indeed
",10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),San Francisco, CA,18,0,1,0,0,0,0
119,Data Scientist (University Graduate),151000,4.4,"Indeed
",10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),Remote,Remote,18,0,1,0,1,0,0
120,AWS Data Scientist,167500,3.8,"Amazon Web Services, Inc.
",10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),Remote,Remote,28,1,0,0,0,1,1
121,"Data Scientist, Freemium Innovation",139731,4.2,"Spotify
",5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,New York, NY,16,0,0,0,0,0,0
122,"Senior Director, Data Science (Commercial Analytics) (Open to remote work, except the following locations: SD, VT, and WV)",199000,4.1,"Nike
",10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),Beaverton, OR,50,0,0,0,0,0,0
124,Data Science Manager - Communities & Servers,96438,4.4,"Discord
",51 to 200 Employees,2015,Company - Private,Internet,Information Technology,$1 to $5 million (USD),San Francisco, CA,7,0,0,0,0,0,0
125,"Data Scientist - Tiktok Ads, Growth Marketing",147032,3.5,"TikTok
",1001 to 5000 Employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Mountain View, CA,6,0,0,0,0,0,0
126,Lead Data Scientist - Customer Data Science,153275,3.9,"Hulu
",1001 to 5000 Employees,2007,Company - Private,TV Broadcast & Cable Networks,Media,$1 to $2 billion (USD),Santa Monica, CA,15,0,1,0,1,0,0
127,"Senior Data Scientist, Product Intelligence",150110,4.4,"Zoom Video Communications, Inc.
",1001 to 5000 Employees,2011,Company - Public,IT Services,Information Technology,$2 to $5 billion (USD),San Francisco, CA,11,0,0,0,0,0,0
128,Senior Data Analyst (Loyalty & Player Engagement),119944,4.0,"PlayStation Global
",5001 to 10000 Employees,1994,Subsidiary or Business Segment,Video Games,Media,$10+ billion (USD),San Mateo, CA,28,0,0,0,0,0,0
129,"Lead Data Scientist, Marketing Analytics",125496,4.2,"Spotify
",5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,New York, NY,16,0,0,0,0,0,0
130,"Staff Data Scientist, Platform",150200,4.5,"Salesforce
",10000+ Employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),Remote,Remote,23,0,0,0,0,0,0
131,Computer Engineer (Data Scientist),140014,3.5,"US Internal Revenue Service
",10000+ Employees,1862,Government,Federal Agencies,Government,Unknown / Non-Applicable,Fresno, CA,160,0,0,0,0,0,0
132,Data Science Advisor (Express Scripts) - Evernorth,127700,3.8,"Cigna
",10000+ Employees,1865,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),Saint Louis, MO,157,1,1,1,1,1,1
133,"Data Scientist, Operations Data Science",95000,4.5,"Google
",10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),Mountain View, CA,24,1,0,0,0,0,0
134,"Data Scientist, Marketing Science Research: Creative Shop",114330,4.3,"Meta
",10000+ Employees,2004,Company - Public,Internet,Information Technology,$10+ billion (USD),San Francisco, CA,18,0,0,0,0,0,0
135,"Data Scientist, Marketing Analytics",120445,3.8,"Publix
",10000+ Employees,1930,Company - Private,Grocery Stores & Supermarkets,Retail,$10+ billion (USD),Lakeland, FL,92,0,0,0,0,0,0
136,Lead Data Scientist,133311,4.1,"Activision
",1001 to 5000 Employees,1979,Subsidiary or Business Segment,Video Games,Media,$500 million to $1 billion (USD),Santa Monica, CA,43,0,0,0,0,0,0
